years_experience,education,job_title,location,company_size,salary,skill_score
4.8,Bachelor,Lead,Remote,Small,68871.0,52.2
3.0,Bachelor,Developer,Mumbai,Medium,52625.0,33.1
2.8,Master,Lead,Pune,Small,69697.0,38.6
2.8,Master,Manager,Remote,Small,95767.0,36.6
9.3,High School,Developer,Delhi,Medium,60221.0,65.9
5.7,Bachelor,Manager,Hyderabad,Small,91377.0,59.1
2.3,Bachelor,Junior Developer,Mumbai,Large,59270.0,35.8
4.9,Bachelor,Developer,Remote,Medium,76237.0,60.0
4.0,High School,Lead,Bangalore,Medium,68164.0,57.3
0.4,High School,Junior Developer,Pune,Medium,46756.0,39.7
1.3,Bachelor,Manager,Remote,Medium,82109.0,28.7
4.2,Bachelor,Manager,Remote,Small,65164.0,36.5
8.7,High School,Lead,Remote,Large,91263.0,48.0
2.8,Bachelor,Junior Developer,Hyderabad,Large,61118.0,47.9
2.1,Master,Analyst,Bangalore,Small,53789.0,24.2
3.6,Master,Data Scientist,Bangalore,Small,79822.0,47.6
2.0,Bachelor,Senior Developer,Delhi,Small,57802.0,25.2
2.6,Bachelor,Lead,Hyderabad,Medium,80998.0,46.0
3.3,PhD,Manager,Remote,Medium,86835.0,40.1
1.3,Bachelor,Developer,Mumbai,Large,72025.0,47.2
5.9,Bachelor,Junior Developer,Hyderabad,Medium,50844.0,59.1
1.1,Bachelor,Data Scientist,Hyderabad,Medium,69546.0,47.7
0.9,High School,Senior Developer,Bangalore,Medium,64329.0,47.3
3.9,Bachelor,Developer,Delhi,Medium,56611.0,43.1
5.6,Master,Junior Developer,Delhi,Medium,74929.0,35.2
3.8,Bachelor,Data Scientist,Hyderabad,Medium,89104.0,30.9
3.0,Bachelor,Lead,Hyderabad,Medium,78988.0,18.1
2.6,Master,Data Scientist,Pune,Medium,90978.0,27.0
2.3,High School,Lead,Remote,Medium,68462.0,37.6
6.9,Bachelor,Analyst,Bangalore,Medium,68492.0,45.1
4.2,Bachelor,Junior Developer,Remote,Medium,41579.0,40.8
2.4,Bachelor,Data Scientist,Mumbai,Medium,90679.0,42.1
1.9,High School,Senior Developer,Mumbai,Medium,58644.0,32.7
5.2,Bachelor,Data Scientist,Delhi,Medium,89669.0,34.4
6.8,Bachelor,Junior Developer,Bangalore,Medium,67315.0,49.9
6.4,Bachelor,Developer,Remote,Small,46889.0,40.2
1.6,Bachelor,Developer,Delhi,Small,42320.0,32.1
2.6,Bachelor,Data Scientist,Mumbai,Medium,81403.0,51.2
2.2,High School,Data Scientist,Hyderabad,Medium,75846.0,33.9
2.9,Bachelor,Lead,Bangalore,Large,93599.0,56.4
5.9,High School,Junior Developer,Bangalore,Medium,54006.0,62.0
8.2,Master,Lead,Remote,Medium,91767.0,48.8
